----- HARDWARE PROFILING (V5 OVERHEAD TEST) -----
OS System: Windows 11 (10.0.26200)
Processor: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel
Physical Cores: 20
Total Logical Cores: 28
Total RAM: 63.83GB
Execution Priority: Elevada (High Priority)
Python Version: 3.12.4
--------------------------------------------------

>>>> CENÁRIO: Ordered (Crescente) <<<<
  | Vol (N)  | BST ST(s) | BST MP 4-Cores | Atraso BST MP % | AVL ST(s) | AVL MP 4-Cores | Atraso AVL MP % |
  |----------|-----------|----------------|-----------------|-----------|----------------|-----------------|
  | 10000    | 0.9188    | 0.5975         | +-35.0          | 0.0317    | 0.3862         | +1116.9         |
  | 20000    | 4.1439    | 1.1025         | +-73.4          | 0.0750    | 0.4288         | +471.9          |
  | 30000    | 7.8689    | 1.9012         | +-75.8          | 0.1167    | 0.4834         | +314.3          |
  | 40000    | 11.1527   | 1.9133         | +-82.8          | 0.1585    | 0.5207         | +228.5          |
  | 49093    | 15.8864   | 3.0917         | +-80.5          | 0.1978    | 0.5937         | +200.1          |

>>>> CENÁRIO: Reversed (Decrescente) <<<<
  | Vol (N)  | BST ST(s) | BST MP 4-Cores | Atraso BST MP % | AVL ST(s) | AVL MP 4-Cores | Atraso AVL MP % |
  |----------|-----------|----------------|-----------------|-----------|----------------|-----------------|
  | 10000    | 0.5086    | 0.4777         | +-6.1           | 0.0321    | 0.3825         | +1090.9         |
  | 20000    | 1.4940    | 0.6772         | +-54.7          | 0.0634    | 0.4177         | +558.4          |
  | 30000    | 3.6650    | 0.8336         | +-77.3          | 0.0991    | 0.4844         | +388.9          |
  | 40000    | 7.6862    | 1.1457         | +-85.1          | 0.1427    | 0.5362         | +275.6          |
  | 49093    | 11.6520   | 1.5467         | +-86.7          | 0.1818    | 0.6061         | +233.4          |

>>>> CENÁRIO: Shuffled (Aleatório) <<<<
  | Vol (N)  | BST ST(s) | BST MP 4-Cores | Atraso BST MP % | AVL ST(s) | AVL MP 4-Cores | Atraso AVL MP % |
  |----------|-----------|----------------|-----------------|-----------|----------------|-----------------|
  | 10000    | 0.0131    | 0.3849         | +2831.1         | 0.0372    | 0.3934         | +958.0          |
  | 20000    | 0.0327    | 0.4241         | +1199.0         | 0.0868    | 0.4367         | +403.1          |
  | 30000    | 0.0508    | 0.4798         | +844.2          | 0.1324    | 0.5035         | +280.3          |
  | 40000    | 0.0653    | 0.5202         | +696.1          | 0.1821    | 0.5638         | +209.6          |
  | 49093    | 0.0806    | 0.6052         | +650.8          | 0.2241    | 0.6242         | +178.6          |
